"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","ID-131 | Verify Users endpoint amount of returned items is 10","backend","2026-07-17","passed","2026-07-17","Users endpoint","tests/api/users.spec.ts","",""
"","3790","ID-000 | Verify items are displayed for each category","firefox","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","3860","ID-001 | Verify invalid phones are not visible","phone","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","2719","ID-001 | Verify invalid phones are not visible","firefox","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","2401","ID-000 | Verify items are displayed for each category","edge","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","2447","ID-000 | Verify items are displayed for each category","chrome","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","8406","ID-000 | Verify items are displayed for each category","safari","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","23","ID-132 | Verify Users endpoint is returning a correct 200 response for a specific user","backend","2026-07-17","passed","2026-07-17","Users endpoint","tests/api/users.spec.ts","",""
"","25","ID-121 | Verify Todos endpoint amount of returned items is 200","backend","2026-07-17","passed","2026-07-17","Todos endpoint","tests/api/todos.spec.ts","",""
"","1450","ID-001 | Verify invalid phones are not visible","chrome","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","453","ID-101 | Verify Post endpoint amount of returned items is 100","backend","2026-07-17","passed","2026-07-17","Posts endpoint","tests/api/posts.spec.ts","",""
"","1258","ID-001 | Verify invalid phones are not visible","edge","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","397","ID-102 | Verify Posts endpoint is returning a correct 200 response for a specific post","backend","2026-07-17","passed","2026-07-17","Posts endpoint","tests/api/posts.spec.ts","",""
"","1614","ID-001 | Verify invalid phones are not visible","tablet","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","30","ID-122 | Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","2026-07-17","passed","2026-07-17","Todos endpoint","tests/api/todos.spec.ts","",""
"","5901","ID-000 | Verify items are displayed for each category","phone","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","6122","ID-001 | Verify invalid phones are not visible","safari","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
"","2666","ID-000 | Verify items are displayed for each category","tablet","2026-07-17","passed","2026-07-17","","tests/frontend/homePage.spec.ts","",""
