"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","Sun Apr 26 20:12:17 UTC 2026","passed","Sun Apr 26 20:12:17 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","396","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","Sun Apr 26 20:12:17 UTC 2026","passed","Sun Apr 26 20:12:18 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","2111","ID-002 | Verify successful login","tablet","Sun Apr 26 20:12:14 UTC 2026","passed","Sun Apr 26 20:12:16 UTC 2026","","tests/frontend/login.spec.ts","",""
"","1679","ID-002 | Verify successful login","edge","Sun Apr 26 20:12:08 UTC 2026","passed","Sun Apr 26 20:12:09 UTC 2026","","tests/frontend/login.spec.ts","",""
"","2089","ID-002 | Verify successful login","chrome","Sun Apr 26 20:12:02 UTC 2026","passed","Sun Apr 26 20:12:04 UTC 2026","","tests/frontend/login.spec.ts","",""
"","5326","ID-002 | Verify successful login","phone","Sun Apr 26 20:12:10 UTC 2026","passed","Sun Apr 26 20:12:16 UTC 2026","","tests/frontend/login.spec.ts","",""
"","3191","ID-002 | Verify successful login","firefox","Sun Apr 26 20:12:02 UTC 2026","passed","Sun Apr 26 20:12:06 UTC 2026","","tests/frontend/login.spec.ts","",""
"","438","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","Sun Apr 26 20:12:17 UTC 2026","passed","Sun Apr 26 20:12:17 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","7146","ID-002 | Verify successful login","safari","Sun Apr 26 20:12:05 UTC 2026","passed","Sun Apr 26 20:12:13 UTC 2026","","tests/frontend/login.spec.ts","",""
