"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2446","ID-001 | Verify invalid phones are not visible","firefox","Sun Apr 26 20:14:55 UTC 2026","passed","Sun Apr 26 20:14:58 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","1783","ID-001 | Verify invalid phones are not visible","tablet","Sun Apr 26 20:15:17 UTC 2026","passed","Sun Apr 26 20:15:18 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","31","ID-131 | Verify Users endpoint amount of returned items is 10","backend","Sun Apr 26 20:15:20 UTC 2026","passed","Sun Apr 26 20:15:20 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","1978","ID-001 | Verify invalid phones are not visible","edge","Sun Apr 26 20:15:09 UTC 2026","passed","Sun Apr 26 20:15:11 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","41","ID-121 | Verify Todos endpoint amount of returned items is 200","backend","Sun Apr 26 20:15:20 UTC 2026","passed","Sun Apr 26 20:15:20 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","2835","ID-000 | Verify items are displayed for each category","tablet","Sun Apr 26 20:15:16 UTC 2026","passed","Sun Apr 26 20:15:19 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","6027","ID-000 | Verify items are displayed for each category","phone","Sun Apr 26 20:15:10 UTC 2026","passed","Sun Apr 26 20:15:16 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","2883","ID-001 | Verify invalid phones are not visible","phone","Sun Apr 26 20:15:12 UTC 2026","passed","Sun Apr 26 20:15:15 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","142","ID-132 | Verify Users endpoint is returning a correct 200 response for a specific user","backend","Sun Apr 26 20:15:20 UTC 2026","passed","Sun Apr 26 20:15:20 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","142","ID-122 | Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","Sun Apr 26 20:15:20 UTC 2026","passed","Sun Apr 26 20:15:20 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","489","ID-102 | Verify Posts endpoint is returning a correct 200 response for a specific post","backend","Sun Apr 26 20:15:20 UTC 2026","passed","Sun Apr 26 20:15:20 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","3597","ID-000 | Verify items are displayed for each category","firefox","Sun Apr 26 20:14:54 UTC 2026","passed","Sun Apr 26 20:14:58 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","8952","ID-000 | Verify items are displayed for each category","safari","Sun Apr 26 20:14:59 UTC 2026","passed","Sun Apr 26 20:15:08 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","2707","ID-000 | Verify items are displayed for each category","edge","Sun Apr 26 20:15:06 UTC 2026","passed","Sun Apr 26 20:15:09 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","2667","ID-000 | Verify items are displayed for each category","chrome","Sun Apr 26 20:14:52 UTC 2026","passed","Sun Apr 26 20:14:54 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","5928","ID-001 | Verify invalid phones are not visible","safari","Sun Apr 26 20:14:59 UTC 2026","passed","Sun Apr 26 20:15:05 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","1639","ID-001 | Verify invalid phones are not visible","chrome","Sun Apr 26 20:14:52 UTC 2026","passed","Sun Apr 26 20:14:53 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","459","ID-101 | Verify Post endpoint amount of returned items is 100","backend","Sun Apr 26 20:15:19 UTC 2026","passed","Sun Apr 26 20:15:20 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
