"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7510","ID-002 | Verify successful login","safari","2026-06-10","passed","2026-06-10","","tests/frontend/login.spec.ts","",""
"","42","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","2026-06-10","passed","2026-06-10","Todos endpoint","tests/api/todos.spec.ts","",""
"","3364","ID-002 | Verify successful login","firefox","2026-06-10","passed","2026-06-10","","tests/frontend/login.spec.ts","",""
"","41","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","2026-06-10","passed","2026-06-10","Users endpoint","tests/api/users.spec.ts","",""
"","3349","ID-002 | Verify successful login","tablet","2026-06-10","passed","2026-06-10","","tests/frontend/login.spec.ts","",""
"","7846","ID-002 | Verify successful login","phone","2026-06-10","passed","2026-06-10","","tests/frontend/login.spec.ts","",""
"","1876","ID-002 | Verify successful login","edge","2026-06-10","passed","2026-06-10","","tests/frontend/login.spec.ts","",""
"","2040","ID-002 | Verify successful login","chrome","2026-06-10","passed","2026-06-10","","tests/frontend/login.spec.ts","",""
"","424","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","2026-06-10","passed","2026-06-10","Posts endpoint","tests/api/posts.spec.ts","",""
