"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2220","ID-001 | Verify invalid phones are not visible","edge","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","4260","ID-000 | Verify items are displayed for each category","phone","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","5300","ID-001 | Verify invalid phones are not visible","safari","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","4616","ID-000 | Verify items are displayed for each category","firefox","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","2388","ID-001 | Verify invalid phones are not visible","chrome","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","2238","ID-001 | Verify invalid phones are not visible","phone","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","2883","ID-000 | Verify items are displayed for each category","edge","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","371","ID-102 | Verify Posts endpoint is returning a correct 200 response for a specific post","backend","2026-05-29","passed","2026-05-29","Posts endpoint","tests/api/posts.spec.ts","",""
"","387","ID-101 | Verify Post endpoint amount of returned items is 100","backend","2026-05-29","passed","2026-05-29","Posts endpoint","tests/api/posts.spec.ts","",""
"","213","ID-122 | Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","2026-05-29","passed","2026-05-29","Todos endpoint","tests/api/todos.spec.ts","",""
"","3927","ID-000 | Verify items are displayed for each category","chrome","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","2439","ID-000 | Verify items are displayed for each category","tablet","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","11","ID-131 | Verify Users endpoint amount of returned items is 10","backend","2026-05-29","passed","2026-05-29","Users endpoint","tests/api/users.spec.ts","",""
"","7304","ID-000 | Verify items are displayed for each category","safari","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","16","ID-132 | Verify Users endpoint is returning a correct 200 response for a specific user","backend","2026-05-29","passed","2026-05-29","Users endpoint","tests/api/users.spec.ts","",""
"","18","ID-121 | Verify Todos endpoint amount of returned items is 200","backend","2026-05-29","passed","2026-05-29","Todos endpoint","tests/api/todos.spec.ts","",""
"","1534","ID-001 | Verify invalid phones are not visible","tablet","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
"","3040","ID-001 | Verify invalid phones are not visible","firefox","2026-05-29","passed","2026-05-29","","tests/frontend/homePage.spec.ts","",""
