"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8179","ID-000 | Verify items are displayed for each category","safari","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","25","ID-132 | Verify Users endpoint is returning a correct 200 response for a specific user","backend","2026-07-25","passed","2026-07-25","Users endpoint","tests/api/users.spec.ts","",""
"","4456","ID-001 | Verify invalid phones are not visible","phone","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","22","ID-131 | Verify Users endpoint amount of returned items is 10","backend","2026-07-25","passed","2026-07-25","Users endpoint","tests/api/users.spec.ts","",""
"","29","ID-121 | Verify Todos endpoint amount of returned items is 200","backend","2026-07-25","passed","2026-07-25","Todos endpoint","tests/api/todos.spec.ts","",""
"","398","ID-102 | Verify Posts endpoint is returning a correct 200 response for a specific post","backend","2026-07-25","passed","2026-07-25","Posts endpoint","tests/api/posts.spec.ts","",""
"","1259","ID-001 | Verify invalid phones are not visible","edge","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","3791","ID-000 | Verify items are displayed for each category","firefox","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","6068","ID-001 | Verify invalid phones are not visible","safari","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","2400","ID-000 | Verify items are displayed for each category","edge","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","1653","ID-001 | Verify invalid phones are not visible","tablet","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","1648","ID-001 | Verify invalid phones are not visible","chrome","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","5732","ID-000 | Verify items are displayed for each category","phone","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","2660","ID-000 | Verify items are displayed for each category","tablet","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","3110","ID-001 | Verify invalid phones are not visible","firefox","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","2637","ID-000 | Verify items are displayed for each category","chrome","2026-07-25","passed","2026-07-25","","tests/frontend/homePage.spec.ts","",""
"","463","ID-101 | Verify Post endpoint amount of returned items is 100","backend","2026-07-25","passed","2026-07-25","Posts endpoint","tests/api/posts.spec.ts","",""
"","22","ID-122 | Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","2026-07-25","passed","2026-07-25","Todos endpoint","tests/api/todos.spec.ts","",""
