"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5463","ID-002 | Verify successful login","phone","Sun Apr 26 19:58:12 UTC 2026","passed","Sun Apr 26 19:58:18 UTC 2026","","tests/frontend/login.spec.ts","",""
"","8192","ID-002 | Verify successful login","safari","Sun Apr 26 19:58:06 UTC 2026","passed","Sun Apr 26 19:58:15 UTC 2026","","tests/frontend/login.spec.ts","",""
"","512","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","Sun Apr 26 19:58:19 UTC 2026","passed","Sun Apr 26 19:58:19 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","1996","ID-002 | Verify successful login","chrome","Sun Apr 26 19:58:03 UTC 2026","passed","Sun Apr 26 19:58:05 UTC 2026","","tests/frontend/login.spec.ts","",""
"","50","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","Sun Apr 26 19:58:19 UTC 2026","passed","Sun Apr 26 19:58:19 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","2131","ID-002 | Verify successful login","edge","Sun Apr 26 19:58:09 UTC 2026","passed","Sun Apr 26 19:58:11 UTC 2026","","tests/frontend/login.spec.ts","",""
"","417","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","Sun Apr 26 19:58:19 UTC 2026","passed","Sun Apr 26 19:58:20 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","2141","ID-002 | Verify successful login","tablet","Sun Apr 26 19:58:16 UTC 2026","passed","Sun Apr 26 19:58:18 UTC 2026","","tests/frontend/login.spec.ts","",""
"","3320","ID-002 | Verify successful login","firefox","Sun Apr 26 19:58:03 UTC 2026","passed","Sun Apr 26 19:58:07 UTC 2026","","tests/frontend/login.spec.ts","",""
