"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7650","Verify invalid phones are not visible","safari","Fri Apr 17 07:25:35 UTC 2026","passed","Fri Apr 17 07:25:43 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","22","Verify Users endpoint amount of returned items is 10","backend","Fri Apr 17 07:25:50 UTC 2026","passed","Fri Apr 17 07:25:50 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","18","Verify Users endpoint is returning a correct 200 response for a specific user","backend","Fri Apr 17 07:25:50 UTC 2026","passed","Fri Apr 17 07:25:50 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","219","Verify Posts endpoint is returning a correct 200 response for a specific post","backend","Fri Apr 17 07:25:50 UTC 2026","passed","Fri Apr 17 07:25:50 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
"","6979","Verify invalid phones are not visible","phone","Fri Apr 17 07:25:42 UTC 2026","passed","Fri Apr 17 07:25:49 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4227","Verify invalid phones are not visible","tablet","Fri Apr 17 07:25:44 UTC 2026","passed","Fri Apr 17 07:25:49 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4743","Verify invalid phones are not visible","firefox","Fri Apr 17 07:25:30 UTC 2026","passed","Fri Apr 17 07:25:35 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4169","Verify invalid phones are not visible","chrome","Fri Apr 17 07:25:30 UTC 2026","passed","Fri Apr 17 07:25:34 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","379","Verify Todos endpoint amount of returned items is 200","backend","Fri Apr 17 07:25:50 UTC 2026","passed","Fri Apr 17 07:25:51 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
"","4015","Verify invalid phones are not visible","edge","Fri Apr 17 07:25:37 UTC 2026","passed","Fri Apr 17 07:25:41 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","383","Verify Post endpoint amount of returned items is 100","backend","Fri Apr 17 07:25:50 UTC 2026","passed","Fri Apr 17 07:25:50 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
"","217","Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","Fri Apr 17 07:25:51 UTC 2026","passed","Fri Apr 17 07:25:51 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
