"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1043","ID-002 | Verify successful login","chrome","Sun Apr 26 19:43:12 UTC 2026","failed","Sun Apr 26 19:43:13 UTC 2026","","tests/frontend/login.spec.ts","",""
"","2480","ID-002 | Verify successful login","firefox","Sun Apr 26 19:43:14 UTC 2026","failed","Sun Apr 26 19:43:16 UTC 2026","","tests/frontend/login.spec.ts","",""
"","799","ID-002 | Verify successful login","edge","Sun Apr 26 19:43:20 UTC 2026","failed","Sun Apr 26 19:43:21 UTC 2026","","tests/frontend/login.spec.ts","",""
"","37","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","Sun Apr 26 19:43:26 UTC 2026","passed","Sun Apr 26 19:43:26 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","1624","ID-002 | Verify successful login","safari","Sun Apr 26 19:43:18 UTC 2026","failed","Sun Apr 26 19:43:20 UTC 2026","","tests/frontend/login.spec.ts","",""
"","1242","ID-002 | Verify successful login","phone","Sun Apr 26 19:43:24 UTC 2026","failed","Sun Apr 26 19:43:25 UTC 2026","","tests/frontend/login.spec.ts","",""
"","1100","ID-002 | Verify successful login","tablet","Sun Apr 26 19:43:24 UTC 2026","failed","Sun Apr 26 19:43:25 UTC 2026","","tests/frontend/login.spec.ts","",""
"","431","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","Sun Apr 26 19:43:26 UTC 2026","passed","Sun Apr 26 19:43:27 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","505","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","Sun Apr 26 19:43:26 UTC 2026","passed","Sun Apr 26 19:43:26 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
