"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16987","ID-000 | Verify items are displayed for each category","firefox","2026-07-03","failed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","19730","ID-000 | Verify items are displayed for each category","safari","2026-07-03","passed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","17720","ID-001 | Verify invalid phones are not visible","safari","2026-07-03","failed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","4230","ID-000 | Verify items are displayed for each category","phone","2026-07-03","passed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","2845","ID-001 | Verify invalid phones are not visible","phone","2026-07-03","passed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","23","ID-132 | Verify Users endpoint is returning a correct 200 response for a specific user","backend","2026-07-03","passed","2026-07-03","Users endpoint","tests/api/users.spec.ts","",""
"","16970","ID-001 | Verify invalid phones are not visible","firefox","2026-07-03","failed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","2385","ID-000 | Verify items are displayed for each category","edge","2026-07-03","passed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","1507","ID-001 | Verify invalid phones are not visible","tablet","2026-07-03","passed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","395","ID-101 | Verify Post endpoint amount of returned items is 100","backend","2026-07-03","passed","2026-07-03","Posts endpoint","tests/api/posts.spec.ts","",""
"","1229","ID-001 | Verify invalid phones are not visible","edge","2026-07-03","passed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","15785","ID-000 | Verify items are displayed for each category","chrome","2026-07-03","failed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","15767","ID-001 | Verify invalid phones are not visible","chrome","2026-07-03","failed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","29","ID-121 | Verify Todos endpoint amount of returned items is 200","backend","2026-07-03","passed","2026-07-03","Todos endpoint","tests/api/todos.spec.ts","",""
"","373","ID-102 | Verify Posts endpoint is returning a correct 200 response for a specific post","backend","2026-07-03","passed","2026-07-03","Posts endpoint","tests/api/posts.spec.ts","",""
"","16","ID-131 | Verify Users endpoint amount of returned items is 10","backend","2026-07-03","passed","2026-07-03","Users endpoint","tests/api/users.spec.ts","",""
"","2599","ID-000 | Verify items are displayed for each category","tablet","2026-07-03","passed","2026-07-03","","tests/frontend/homePage.spec.ts","",""
"","16","ID-122 | Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","2026-07-03","passed","2026-07-03","Todos endpoint","tests/api/todos.spec.ts","",""
