"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","362","Verify Todos endpoint amount of returned items is 200","backend","Fri Apr 03 07:02:29 UTC 2026","passed","Fri Apr 03 07:02:29 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
"","7591","Verify invalid phones are not visible","safari","Fri Apr 03 07:02:14 UTC 2026","passed","Fri Apr 03 07:02:21 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","19","Verify Users endpoint amount of returned items is 10","backend","Fri Apr 03 07:02:29 UTC 2026","passed","Fri Apr 03 07:02:29 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","4710","Verify invalid phones are not visible","firefox","Fri Apr 03 07:02:09 UTC 2026","passed","Fri Apr 03 07:02:14 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","21","Verify Users endpoint is returning a correct 200 response for a specific user","backend","Fri Apr 03 07:02:29 UTC 2026","passed","Fri Apr 03 07:02:29 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","24","Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","Fri Apr 03 07:02:29 UTC 2026","passed","Fri Apr 03 07:02:29 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
"","393","Verify Post endpoint amount of returned items is 100","backend","Fri Apr 03 07:02:28 UTC 2026","passed","Fri Apr 03 07:02:28 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
"","3725","Verify invalid phones are not visible","edge","Fri Apr 03 07:02:16 UTC 2026","passed","Fri Apr 03 07:02:19 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4090","Verify invalid phones are not visible","tablet","Fri Apr 03 07:02:23 UTC 2026","passed","Fri Apr 03 07:02:27 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","25","Verify Posts endpoint is returning a correct 200 response for a specific post","backend","Fri Apr 03 07:02:28 UTC 2026","passed","Fri Apr 03 07:02:28 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
"","7157","Verify invalid phones are not visible","phone","Fri Apr 03 07:02:20 UTC 2026","passed","Fri Apr 03 07:02:27 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","3891","Verify invalid phones are not visible","chrome","Fri Apr 03 07:02:09 UTC 2026","passed","Fri Apr 03 07:02:13 UTC 2026","","tests/frontend/homePage.spec.ts","",""
