"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1158","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","2026-07-22","passed","2026-07-22","Todos endpoint","tests/api/todos.spec.ts","",""
"","2290","ID-002 | Verify successful login","tablet","2026-07-22","passed","2026-07-22","","tests/frontend/login.spec.ts","",""
"","947","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","2026-07-22","passed","2026-07-22","Posts endpoint","tests/api/posts.spec.ts","",""
"","1908","ID-002 | Verify successful login","edge","2026-07-22","passed","2026-07-22","","tests/frontend/login.spec.ts","",""
"","7296","ID-002 | Verify successful login","safari","2026-07-22","passed","2026-07-22","","tests/frontend/login.spec.ts","",""
"","3474","ID-002 | Verify successful login","firefox","2026-07-22","passed","2026-07-22","","tests/frontend/login.spec.ts","",""
"","2031","ID-002 | Verify successful login","chrome","2026-07-22","passed","2026-07-22","","tests/frontend/login.spec.ts","",""
"","132","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","2026-07-22","passed","2026-07-22","Users endpoint","tests/api/users.spec.ts","",""
"","5569","ID-002 | Verify successful login","phone","2026-07-22","passed","2026-07-22","","tests/frontend/login.spec.ts","",""
