"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2318","ID-002 | Verify successful login","tablet","Wed May 13 08:42:28 UTC 2026","passed","Wed May 13 08:42:31 UTC 2026","","tests/frontend/login.spec.ts","",""
"","412","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","Wed May 13 08:42:32 UTC 2026","passed","Wed May 13 08:42:32 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","414","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","Wed May 13 08:42:32 UTC 2026","passed","Wed May 13 08:42:32 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","5534","ID-002 | Verify successful login","phone","Wed May 13 08:42:25 UTC 2026","passed","Wed May 13 08:42:31 UTC 2026","","tests/frontend/login.spec.ts","",""
"","6952","ID-002 | Verify successful login","safari","Wed May 13 08:42:20 UTC 2026","passed","Wed May 13 08:42:27 UTC 2026","","tests/frontend/login.spec.ts","",""
"","1865","ID-002 | Verify successful login","edge","Wed May 13 08:42:22 UTC 2026","passed","Wed May 13 08:42:24 UTC 2026","","tests/frontend/login.spec.ts","",""
"","46","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","Wed May 13 08:42:32 UTC 2026","passed","Wed May 13 08:42:32 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","1705","ID-002 | Verify successful login","chrome","Wed May 13 08:42:17 UTC 2026","passed","Wed May 13 08:42:18 UTC 2026","","tests/frontend/login.spec.ts","",""
"","3138","ID-002 | Verify successful login","firefox","Wed May 13 08:42:17 UTC 2026","passed","Wed May 13 08:42:20 UTC 2026","","tests/frontend/login.spec.ts","",""
