"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1698","ID-002 | Verify successful login","edge","Wed May 27 09:42:06 UTC 2026","passed","Wed May 27 09:42:08 UTC 2026","","tests/frontend/login.spec.ts","",""
"","7172","ID-002 | Verify successful login","safari","Wed May 27 09:42:04 UTC 2026","passed","Wed May 27 09:42:11 UTC 2026","","tests/frontend/login.spec.ts","",""
"","511","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","Wed May 27 09:42:16 UTC 2026","passed","Wed May 27 09:42:16 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","51","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","Wed May 27 09:42:16 UTC 2026","passed","Wed May 27 09:42:16 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","2311","ID-002 | Verify successful login","tablet","Wed May 27 09:42:13 UTC 2026","passed","Wed May 27 09:42:15 UTC 2026","","tests/frontend/login.spec.ts","",""
"","580","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","Wed May 27 09:42:16 UTC 2026","passed","Wed May 27 09:42:17 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","5388","ID-002 | Verify successful login","phone","Wed May 27 09:42:09 UTC 2026","passed","Wed May 27 09:42:15 UTC 2026","","tests/frontend/login.spec.ts","",""
"","2001","ID-002 | Verify successful login","chrome","Wed May 27 09:42:01 UTC 2026","passed","Wed May 27 09:42:03 UTC 2026","","tests/frontend/login.spec.ts","",""
"","3365","ID-002 | Verify successful login","firefox","Wed May 27 09:42:01 UTC 2026","passed","Wed May 27 09:42:04 UTC 2026","","tests/frontend/login.spec.ts","",""
