"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2094","ID-002 | Verify successful login","chrome","2026-07-15","passed","2026-07-15","","tests/frontend/login.spec.ts","",""
"","401","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","2026-07-15","passed","2026-07-15","Posts endpoint","tests/api/posts.spec.ts","",""
"","2093","ID-002 | Verify successful login","tablet","2026-07-15","passed","2026-07-15","","tests/frontend/login.spec.ts","",""
"","3964","ID-002 | Verify successful login","firefox","2026-07-15","passed","2026-07-15","","tests/frontend/login.spec.ts","",""
"","7630","ID-002 | Verify successful login","safari","2026-07-15","passed","2026-07-15","","tests/frontend/login.spec.ts","",""
"","34","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","2026-07-15","passed","2026-07-15","Todos endpoint","tests/api/todos.spec.ts","",""
"","35","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","2026-07-15","passed","2026-07-15","Users endpoint","tests/api/users.spec.ts","",""
"","1939","ID-002 | Verify successful login","edge","2026-07-15","passed","2026-07-15","","tests/frontend/login.spec.ts","",""
"","12365","ID-002 | Verify successful login","phone","2026-07-15","failed","2026-07-15","","tests/frontend/login.spec.ts","",""
