"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7590","Verify invalid phones are not visible","safari","Thu Apr 02 00:22:39 UTC 2026","passed","Thu Apr 02 00:22:46 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","5177","Verify invalid phones are not visible","firefox","Thu Apr 02 00:22:33 UTC 2026","passed","Thu Apr 02 00:22:38 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","169","Verify Post endpoint amount of returned items is 100","backend","Thu Apr 02 00:22:55 UTC 2026","passed","Thu Apr 02 00:22:55 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
"","4409","Verify invalid phones are not visible","tablet","Thu Apr 02 00:22:49 UTC 2026","passed","Thu Apr 02 00:22:53 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4182","Verify invalid phones are not visible","edge","Thu Apr 02 00:22:41 UTC 2026","passed","Thu Apr 02 00:22:45 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4255","Verify invalid phones are not visible","chrome","Thu Apr 02 00:22:33 UTC 2026","passed","Thu Apr 02 00:22:37 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","6643","Verify invalid phones are not visible","phone","Thu Apr 02 00:22:47 UTC 2026","passed","Thu Apr 02 00:22:53 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","180","Verify Todos endpoint amount of returned items is 200","backend","Thu Apr 02 00:22:55 UTC 2026","passed","Thu Apr 02 00:22:55 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
"","39","Verify Users endpoint amount of returned items is 10","backend","Thu Apr 02 00:22:55 UTC 2026","passed","Thu Apr 02 00:22:55 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","42","Verify Users endpoint is returning a correct 200 response for a specific user","backend","Thu Apr 02 00:22:55 UTC 2026","passed","Thu Apr 02 00:22:55 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","52","Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","Thu Apr 02 00:22:55 UTC 2026","passed","Thu Apr 02 00:22:55 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
"","63","Verify Posts endpoint is returning a correct 200 response for a specific post","backend","Thu Apr 02 00:22:55 UTC 2026","passed","Thu Apr 02 00:22:55 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
