"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4229","ID-002 | Verify successful login","safari","Sun Apr 26 19:21:20 UTC 2026","failed","Sun Apr 26 19:21:24 UTC 2026","","tests/frontend/login.spec.ts","",""
"","1974","ID-002 | Verify successful login","edge","Sun Apr 26 19:20:55 UTC 2026","failed","Sun Apr 26 19:20:57 UTC 2026","","tests/frontend/login.spec.ts","",""
"","703","ID-002 | Verify successful login","chrome","Sun Apr 26 19:20:47 UTC 2026","failed","Sun Apr 26 19:20:48 UTC 2026","","tests/frontend/login.spec.ts","",""
"","442","ID-100 | Verify Posts endpoint is returning a correct 200 response","backend","Sun Apr 26 19:21:30 UTC 2026","passed","Sun Apr 26 19:21:31 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","1177","ID-002 | Verify successful login","tablet","Sun Apr 26 19:21:28 UTC 2026","failed","Sun Apr 26 19:21:29 UTC 2026","","tests/frontend/login.spec.ts","",""
"","2464","ID-002 | Verify successful login","firefox","Sun Apr 26 19:20:48 UTC 2026","failed","Sun Apr 26 19:20:51 UTC 2026","","tests/frontend/login.spec.ts","",""
"","55","ID-120 | Verify Todos endpoint is returning a correct 200 response","backend","Sun Apr 26 19:21:31 UTC 2026","passed","Sun Apr 26 19:21:31 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","1770","ID-002 | Verify successful login","phone","Sun Apr 26 19:21:03 UTC 2026","failed","Sun Apr 26 19:21:04 UTC 2026","","tests/frontend/login.spec.ts","",""
"","36","ID-130 | Verify Users endpoint is returning a correct 200 response","backend","Sun Apr 26 19:21:31 UTC 2026","passed","Sun Apr 26 19:21:31 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
